FIPS,2014 RPL_THEME3,2015 RPL_THEME3,2016 RPL_THEME3,2017 RPL_THEME3,2018 RPL_THEME3,2019 RPL_THEME3,2020 RPL_THEME3
01001,49.86,54.81,59.76,59.61,59.47,61.42,63.37
01003,62.88,57.91,52.94,48.26,43.58,46.9,50.22
01005,88.98,87.28,85.58,85.58,85.58,87.6,89.62
01007,52.37,51.28,50.18,46.71,43.23,53.08,62.92
01009,58.64,59.28,59.92,59.54,59.15,50.31,41.47
01011,93.22,88.32,83.41,75.45,67.49,82.79,98.09
01013,62.59,68.94,75.29,69.88,64.47,75.67,86.86
01015,62.11,60.41,58.71,61.89,65.07,65.44,65.82
01017,50.46,54.22,57.98,51.97,45.97,65.09,84.21
01019,16.75,15.46,14.17,20.84,27.51,27.64,27.78
01021,73.93,73.16,72.4,71.03,69.66,62.42,55.19
01023,43.68,42.28,40.88,49.92,58.96,70.76,82.56
01025,50.56,52.36,54.15,50.89,47.63,66.97,86.31
01027,56.8,52.34,47.88,45.18,42.47,48.35,54.23
01029,15.66,26.74,37.82,36.0,34.19,28.11,22.02
01031,78.54,75.83,73.13,72.84,72.56,70.59,68.62
01033,43.39,39.9,36.42,38.06,39.7,48.7,57.7
01035,59.66,51.2,42.73,43.35,43.97,65.76,87.56
01037,64.25,68.77,73.29,63.22,53.14,63.6,74.06
01039,50.33,48.6,46.86,43.14,39.41,44.61,49.81
01041,65.36,66.52,67.69,68.74,69.79,68.6,67.41
01043,42.18,41.96,41.74,37.4,33.05,30.29,27.53
01045,61.64,62.77,63.9,65.81,67.72,69.0,70.27
01047,54.44,54.49,54.54,53.99,53.45,75.28,97.1
01049,78.06,77.44,76.82,76.54,76.25,65.32,54.39
01051,62.24,61.6,60.97,59.54,58.1,61.34,64.58
01053,46.35,46.92,47.5,53.89,60.27,69.81,79.34
01055,62.4,64.81,67.21,65.59,63.96,61.14,58.31
01057,24.67,22.25,19.83,21.0,22.16,34.87,47.58
01059,82.3,81.8,81.31,81.58,81.85,71.23,60.6
01061,57.72,56.21,54.7,50.48,46.26,47.88,49.49
01063,55.05,52.08,49.12,49.78,50.43,74.46,98.5
01065,68.0,68.27,68.55,59.86,51.16,72.26,93.35
01067,69.75,65.66,61.57,54.41,47.25,58.2,69.16
01069,64.02,63.75,63.48,61.43,59.38,66.07,72.76
01071,40.97,38.79,36.61,33.93,31.26,33.07,34.88
01073,84.37,83.26,82.14,81.56,80.99,84.43,87.87
01075,43.9,38.73,33.56,26.95,20.34,31.76,43.19
01077,50.18,47.24,44.29,44.46,44.64,46.2,47.77
01079,34.45,34.51,34.57,35.91,37.25,48.8,60.34
01081,76.89,74.91,72.94,72.42,71.89,71.7,71.51
01083,67.69,65.9,64.12,62.99,61.86,61.57,61.27
01085,51.42,52.1,52.79,53.34,53.9,75.74,97.58
01087,74.94,64.32,53.71,52.12,50.53,74.6,98.66
01089,74.85,74.26,73.67,72.92,72.17,73.32,74.47
01091,54.79,51.8,48.81,49.2,49.6,69.74,89.88
01093,26.87,24.2,21.52,25.77,30.02,28.9,27.78
01095,76.98,76.78,76.57,76.83,77.08,65.58,54.07
01097,73.35,71.49,69.63,69.04,68.45,75.49,82.53
01099,44.54,45.56,46.58,46.74,46.9,66.04,85.17
01101,88.51,87.85,87.2,86.88,86.56,90.91,95.26
01103,75.07,74.72,74.37,74.7,75.04,68.39,61.74
01105,73.19,68.86,64.53,63.45,62.37,79.45,96.53
01107,60.68,68.23,75.77,80.12,84.46,85.02,85.58
01109,76.25,79.14,82.04,82.09,82.14,82.67,83.2
01111,38.24,35.86,33.49,38.07,42.66,52.32,61.97
01113,72.11,72.4,72.68,76.02,79.37,84.54,89.72
01115,44.83,42.16,39.48,39.54,39.61,41.86,44.11
01117,70.68,69.54,68.39,68.58,68.77,63.8,58.82
01119,75.45,78.65,81.85,74.54,67.24,82.36,97.49
01121,62.75,60.84,58.93,58.88,58.83,67.83,76.83
01123,54.98,52.99,51.0,46.58,42.15,56.0,69.86
01125,73.38,71.38,69.37,70.12,70.87,74.56,78.26
01127,37.85,39.36,40.88,39.75,38.62,37.83,37.05
01129,51.86,56.14,60.43,58.76,57.08,65.19,73.3
01131,54.22,55.26,56.29,66.68,77.08,87.16,97.23
01133,32.95,31.04,29.13,27.52,25.92,21.86,17.79
02013,99.52,99.49,99.46,99.49,99.52,99.25,98.98
02016,98.5,98.17,97.84,98.22,98.6,98.28,97.96
02020,85.16,85.37,85.58,85.96,86.34,84.29,82.24
02050,95.54,95.1,94.65,94.58,94.52,97.01,99.49
02060,41.77,42.0,42.22,42.4,42.57,65.5,88.42
02063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02068,70.74,45.26,19.77,32.58,45.4,49.52,53.63
02070,94.68,90.86,87.04,83.74,80.45,89.64,98.82
02090,66.54,65.56,64.57,61.02,57.47,63.66,69.86
02100,40.4,46.5,52.59,54.92,57.24,61.34,65.44
02105,57.43,53.61,49.79,47.77,45.75,67.59,89.43
02110,73.73,73.57,73.42,73.56,73.7,74.56,75.43
02122,34.96,40.42,45.88,45.88,45.88,50.93,55.98
02130,62.85,68.7,74.56,74.58,74.59,75.17,75.75
02150,89.72,91.64,93.57,94.0,94.43,91.5,88.57
02158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02164,84.11,81.88,79.66,71.33,63.01,80.39,97.77
02170,50.08,50.48,50.88,54.54,58.2,57.68,57.16
02180,83.51,85.53,87.55,87.94,88.32,93.6,98.89
02185,87.27,84.34,81.41,81.28,81.15,89.03,96.91
02188,80.8,81.93,83.06,79.46,75.87,87.6,99.33
02195,72.37,60.08,47.79,62.18,76.57,77.74,78.9
02198,48.07,47.74,47.41,46.15,44.89,67.33,89.78
02220,83.92,83.98,84.05,78.38,72.72,75.18,77.63
02230,28.05,27.94,27.83,33.51,39.19,49.67,60.15
02240,65.04,71.65,78.26,79.64,81.03,72.91,64.8
02275,73.29,76.87,80.45,74.11,67.78,71.24,74.7
02282,85.86,84.2,82.55,79.59,76.63,86.08,95.54
02290,72.05,65.07,58.1,56.16,54.22,76.16,98.09
04001,97.2,97.22,97.23,97.42,97.61,98.0,98.38
04003,92.04,92.22,92.39,92.32,92.26,88.48,84.69
04005,89.65,88.6,87.55,87.52,87.49,86.49,85.49
04007,79.21,79.97,80.74,80.84,80.93,79.06,77.18
04009,90.61,90.69,90.77,89.9,89.02,88.13,87.24
04011,89.43,89.64,89.84,90.67,91.5,90.36,89.21
04012,90.96,91.36,91.75,91.13,90.51,86.18,81.86
04013,92.42,92.42,92.42,92.58,92.74,88.72,84.69
04015,72.68,72.5,72.33,71.57,70.81,65.39,59.96
04017,94.14,94.19,94.24,93.82,93.41,92.6,91.79
04019,92.1,92.22,92.33,92.55,92.77,89.94,87.11
04021,89.78,89.84,89.91,89.76,89.62,86.24,82.85
04023,99.62,99.56,99.49,99.54,99.59,99.18,98.76
04025,68.58,68.58,68.58,67.33,66.09,60.45,54.81
04027,98.89,98.94,98.98,98.98,98.98,97.6,96.21
05001,62.56,55.21,47.85,42.5,37.15,53.4,69.64
05003,68.99,68.3,67.62,70.88,74.15,72.4,70.66
05005,17.57,17.3,17.03,12.16,7.29,13.16,19.03
05007,80.74,80.14,79.53,80.2,80.87,74.46,68.05
05009,9.61,8.54,7.48,6.93,6.37,11.46,16.55
05011,87.87,88.62,89.37,89.4,89.43,86.56,83.7
05013,30.56,30.26,29.96,30.58,31.2,48.32,65.44
05015,76.03,76.92,77.81,77.97,78.13,67.73,57.32
05017,76.35,78.22,80.1,81.4,82.71,87.94,93.16
05019,57.18,59.26,61.35,62.43,63.51,66.89,70.27
05021,19.29,13.32,7.35,6.4,5.44,7.6,9.77
