STATEFP,COUNTYFP,COUNAME,STNAME,LATITUDE,LONGITUDE
01,001,Autauga,Alabama,32.500194,-86.487813
01,003,Baldwin,Alabama,30.537396,-87.761478
01,005,Barbour,Alabama,31.843981,-85.301306
01,007,Bibb,Alabama,33.032236,-87.136826
01,009,Blount,Alabama,33.954604,-86.592667
01,011,Bullock,Alabama,32.115838,-85.702354
01,013,Butler,Alabama,31.776019,-86.6524
01,015,Calhoun,Alabama,33.727215,-85.817974
01,017,Chambers,Alabama,32.85644,-85.25964
01,019,Cherokee,Alabama,34.180501,-85.629887
01,021,Chilton,Alabama,32.879146,-86.688861
01,023,Choctaw,Alabama,32.016121,-88.262482
01,025,Clarke,Alabama,31.683493,-87.815868
01,027,Clay,Alabama,33.274342,-85.817245
01,029,Cleburne,Alabama,33.625217,-85.495748
01,031,Coffee,Alabama,31.353217,-85.899556
01,033,Colbert,Alabama,34.724339,-87.681892
01,035,Conecuh,Alabama,31.41643,-86.997537
01,037,Coosa,Alabama,32.976884,-86.156212
01,039,Covington,Alabama,31.284146,-86.409203
01,041,Crenshaw,Alabama,31.747324,-86.296787
01,043,Cullman,Alabama,34.162652,-86.83269
01,045,Dale,Alabama,31.383858,-85.63771
01,047,Dallas,Alabama,32.411818,-87.035342
01,049,DeKalb,Alabama,34.452725,-85.817465
01,051,Elmore,Alabama,32.558527,-86.225332
01,053,Escambia,Alabama,31.085439,-87.280078
01,055,Etowah,Alabama,34.012182,-86.025892
01,057,Fayette,Alabama,33.726912,-87.76749
01,059,Franklin,Alabama,34.463509,-87.793592
01,061,Geneva,Alabama,31.094511,-85.781426
01,063,Greene,Alabama,32.833838,-87.924522
01,065,Hale,Alabama,32.783251,-87.627964
01,067,Henry,Alabama,31.469275,-85.271132
01,069,Houston,Alabama,31.204793,-85.39632
01,071,Jackson,Alabama,34.727289,-85.943552
01,073,Jefferson,Alabama,33.517206,-86.811606
01,075,Lamar,Alabama,33.761275,-88.108771
01,077,Lauderdale,Alabama,34.865524,-87.608858
01,079,Lawrence,Alabama,34.540863,-87.27158
01,081,Lee,Alabama,32.592265,-85.359778
01,083,Limestone,Alabama,34.803982,-86.922366
01,085,Lowndes,Alabama,32.164241,-86.615186
01,087,Macon,Alabama,32.429073,-85.711764
01,089,Madison,Alabama,34.742996,-86.61533
01,091,Marengo,Alabama,32.342372,-87.803475
01,093,Marion,Alabama,34.110448,-87.876476
01,095,Marshall,Alabama,34.311249,-86.291329
01,097,Mobile,Alabama,30.684049,-88.175178
01,099,Monroe,Alabama,31.4988,-87.364576
01,101,Montgomery,Alabama,32.346473,-86.233787
01,103,Morgan,Alabama,34.513887,-86.931981
01,105,Perry,Alabama,32.584881,-87.369738
01,107,Pickens,Alabama,33.284667,-88.074381
01,109,Pike,Alabama,31.786041,-85.946994
01,111,Randolph,Alabama,33.264692,-85.427378
01,113,Russell,Alabama,32.414904,-85.054594
01,115,St. Clair,Alabama,33.660943,-86.374875
01,117,Shelby,Alabama,33.290336,-86.73899
01,119,Sumter,Alabama,32.571003,-88.230925
01,121,Talladega,Alabama,33.376936,-86.165876
01,123,Tallapoosa,Alabama,32.851728,-85.864016
01,125,Tuscaloosa,Alabama,33.214817,-87.518474
01,127,Walker,Alabama,33.834217,-87.250515
01,129,Washington,Alabama,31.413666,-88.195263
01,131,Wilcox,Alabama,32.007448,-87.376912
01,133,Winston,Alabama,34.164369,-87.415624
02,013,Aleutians East,Alaska,54.672887,-163.763729
02,016,Aleutians West,Alaska,54.024627,-168.148047
02,020,Anchorage,Alaska,61.191547,-149.792287
02,050,Bethel,Alaska,60.667568,-162.178288
02,060,Bristol Bay,Alaska,58.733456,-156.833611
02,063,Chugach,Alaska,60.881369,-146.199156
02,066,Copper River,Alaska,62.060769,-145.032939
02,068,Denali,Alaska,63.86431,-149.027498
02,070,Dillingham,Alaska,59.128804,-158.75132
02,090,Fairbanks North Star,Alaska,64.831239,-147.623249
02,100,Haines,Alaska,59.234185,-135.497336
02,105,Hoonah-Angoon,Alaska,58.123876,-135.423534
02,110,Juneau,Alaska,58.360173,-134.533023
02,122,Kenai Peninsula,Alaska,60.283998,-151.068103
02,130,Ketchikan Gateway,Alaska,55.369105,-131.678418
02,150,Kodiak Island,Alaska,57.774607,-152.454785
02,158,Kusilvak,Alaska,62.076819,-164.34049
02,164,Lake and Peninsula,Alaska,58.617154,-156.27339
02,170,Matanuska-Susitna,Alaska,61.607247,-149.432649
02,180,Nome,Alaska,64.431631,-165.269108
02,185,North Slope,Alaska,70.480816,-155.295377
02,188,Northwest Arctic,Alaska,66.897051,-161.582978
02,195,Petersburg,Alaska,56.79507,-132.943575
02,198,Prince of Wales-Hyder,Alaska,55.59077,-132.668824
02,220,Sitka,Alaska,57.062777,-135.335988
02,230,Skagway,Alaska,59.465893,-135.310551
02,240,Southeast Fairbanks,Alaska,63.861551,-144.698751
02,275,Wrangell,Alaska,56.426145,-132.355422
02,282,Yakutat,Alaska,59.545059,-139.714907
02,290,Yukon-Koyukuk,Alaska,64.966051,-152.827744
04,001,Apache,Arizona,35.543654,-109.419015
04,003,Cochise,Arizona,31.603486,-110.072835
04,005,Coconino,Arizona,35.476113,-111.601825
04,007,Gila,Arizona,33.844439,-111.015003
04,009,Graham,Arizona,32.867145,-109.808107
04,011,Greenlee,Arizona,32.985155,-109.259546
04,012,La Paz,Arizona,33.954185,-114.183775
04,013,Maricopa,Arizona,33.490147,-112.044016
04,015,Mohave,Arizona,35.034511,-114.262415
04,017,Navajo,Arizona,34.862151,-110.205157
04,019,Pima,Arizona,32.216427,-110.95803
04,021,Pinal,Arizona,33.069323,-111.602135
04,023,Santa Cruz,Arizona,31.439234,-110.945948
04,025,Yavapai,Arizona,34.628734,-112.273841
04,027,Yuma,Arizona,32.641391,-114.605444
05,001,Arkansas,Arkansas,34.403488,-91.460834
05,003,Ashley,Arkansas,33.17959,-91.877908
05,005,Baxter,Arkansas,36.331791,-92.383935
05,007,Benton,Arkansas,36.335056,-94.230342
05,009,Boone,Arkansas,36.266608,-93.098769
05,011,Bradley,Arkansas,33.574422,-92.101277
05,013,Calhoun,Arkansas,33.585989,-92.500683
05,015,Carroll,Arkansas,36.375744,-93.574712
05,017,Chicot,Arkansas,33.325951,-91.318357
05,019,Clark,Arkansas,34.099325,-93.123962
05,021,Clay,Arkansas,36.370287,-90.366417
05,023,Cleburne,Arkansas,35.507218,-92.037753
05,025,Cleveland,Arkansas,33.912967,-92.136375
05,027,Columbia,Arkansas,33.258766,-93.247178
05,029,Conway,Arkansas,35.21299,-92.705923
05,031,Craighead,Arkansas,35.835762,-90.669235
05,033,Crawford,Arkansas,35.494096,-94.285922
05,035,Crittenden,Arkansas,35.176704,-90.213521
05,037,Cross,Arkansas,35.251667,-90.777424
05,039,Dallas,Arkansas,33.864882,-92.525216
05,041,Desha,Arkansas,33.768029,-91.415165
05,043,Drew,Arkansas,33.627329,-91.784085
05,045,Faulkner,Arkansas,35.105697,-92.406071
05,047,Franklin,Arkansas,35.442155,-93.891039
05,049,Fulton,Arkansas,36.375654,-91.766807
05,051,Garland,Arkansas,34.505767,-93.080729
05,053,Grant,Arkansas,34.311672,-92.412583
05,055,Greene,Arkansas,36.071536,-90.522562
05,057,Hempstead,Arkansas,33.698177,-93.620782
05,059,Hot Spring,Arkansas,34.353569,-92.895511
05,061,Howard,Arkansas,33.981466,-93.908938
05,063,Independence,Arkansas,35.750729,-91.607338
05,065,Izard,Arkansas,36.1215,-91.911716
05,067,Jackson,Arkansas,35.623062,-91.246504
05,069,Jefferson,Arkansas,34.234814,-92.045118
05,071,Johnson,Arkansas,35.476548,-93.473125
05,073,Lafayette,Arkansas,33.278875,-93.557713
05,075,Lawrence,Arkansas,36.070844,-91.064441
05,077,Lee,Arkansas,34.787429,-90.769631
05,079,Lincoln,Arkansas,33.973433,-91.745899
05,081,Little River,Arkansas,33.700349,-94.198663
05,083,Logan,Arkansas,35.227664,-93.768311
05,085,Lonoke,Arkansas,34.916983,-91.973917
05,087,Madison,Arkansas,36.062896,-93.757685
05,089,Marion,Arkansas,36.284395,-92.660219
05,091,Miller,Arkansas,33.402394,-93.987198
05,093,Mississippi,Arkansas,35.843368,-90.001606
05,095,Monroe,Arkansas,34.777063,-91.221516
05,097,Montgomery,Arkansas,34.514568,-93.622447
